fase,imagem,akurasi
treino,126,0.20634920634920634
treino,127,0.2047244094488189
treino,128,0.203125
treino,129,0.20155038759689922
treino,130,0.2
treino,131,0.1984732824427481
treino,132,0.20454545454545456
treino,133,0.21052631578947367
treino,134,0.208955223880597
treino,135,0.2074074074074074
treino,136,0.21323529411764705
treino,137,0.21897810218978103
treino,138,0.21739130434782608
treino,139,0.22302158273381295
treino,140,0.22142857142857142
treino,141,0.2198581560283688
treino,142,0.22535211267605634
treino,143,0.23076923076923078
treino,144,0.22916666666666666
treino,145,0.23448275862068965
treino,146,0.23972602739726026
treino,147,0.23809523809523808
treino,148,0.23648648648648649
treino,149,0.2348993288590604
treino,150,0.23333333333333334
treino,151,0.23841059602649006
treino,152,0.23684210526315788
treino,153,0.23529411764705882
treino,154,0.24025974025974026
treino,155,0.23870967741935484
treino,156,0.24358974358974358
treino,157,0.2484076433121019
treino,158,0.25316455696202533
treino,159,0.25157232704402516
treino,160,0.25
treino,161,0.2484472049689441
treino,162,0.24691358024691357
treino,163,0.25153374233128833
treino,164,0.25
treino,165,0.24848484848484848
treino,166,0.2469879518072289
treino,167,0.24550898203592814
treino,168,0.24404761904761904
treino,169,0.24260355029585798
treino,170,0.24705882352941178
treino,171,0.25146198830409355
treino,172,0.25
treino,173,0.24855491329479767
treino,174,0.2471264367816092
treino,175,0.24571428571428572
treino,176,0.24431818181818182
treino,177,0.24293785310734464
treino,178,0.24719101123595505
treino,179,0.25139664804469275
treino,180,0.25555555555555554
treino,181,0.2541436464088398
treino,182,0.25274725274725274
treino,183,0.25136612021857924
treino,184,0.25
treino,185,0.25405405405405407
treino,186,0.25268817204301075
treino,187,0.25133689839572193
treino,188,0.25
treino,189,0.24867724867724866
treino,190,0.24736842105263157
treino,191,0.24607329842931938
treino,192,0.24479166666666666
treino,193,0.24352331606217617
treino,194,0.2422680412371134
treino,195,0.24102564102564103
treino,196,0.24489795918367346
treino,197,0.2436548223350254
treino,198,0.2474747474747475
treino,199,0.25125628140703515
treino,200,0.25
treino,201,0.2537313432835821
treino,202,0.2524752475247525
treino,203,0.2512315270935961
treino,204,0.2549019607843137
treino,205,0.25365853658536586
treino,206,0.25728155339805825
treino,207,0.2608695652173913
treino,208,0.25961538461538464
treino,209,0.2583732057416268
treino,210,0.2571428571428571
treino,211,0.2559241706161137
treino,212,0.25943396226415094
treino,213,0.26291079812206575
treino,214,0.26635514018691586
treino,215,0.26976744186046514
treino,216,0.26851851851851855
treino,217,0.2672811059907834
treino,218,0.2706422018348624
treino,219,0.273972602739726
treino,220,0.2772727272727273
treino,221,0.27601809954751133
treino,222,0.2747747747747748
treino,223,0.273542600896861
treino,224,0.2767857142857143
treino,225,0.27555555555555555
treino,226,0.2743362831858407
treino,227,0.27312775330396477
treino,228,0.2719298245614035
treino,229,0.27074235807860264
treino,230,0.26956521739130435
treino,231,0.2727272727272727
treino,232,0.27155172413793105
treino,233,0.27467811158798283
treino,234,0.27350427350427353
treino,235,0.2765957446808511
treino,236,0.2754237288135593
treino,237,0.27848101265822783
treino,238,0.2773109243697479
treino,239,0.27615062761506276
treino,240,0.2791666666666667
treino,241,0.2821576763485477
treino,242,0.2809917355371901
treino,243,0.27983539094650206
treino,244,0.2827868852459016
treino,245,0.2857142857142857
treino,246,0.2886178861788618
treino,247,0.291497975708502
treino,248,0.29435483870967744
treino,249,0.2971887550200803
treino,250,0.3
treino,251,0.29880478087649404
treino,252,0.30158730158730157
treino,253,0.30039525691699603
